16:09:22: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 55] Logger initialized
16:09:22: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 4.0 m/s
16:09:22: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 111] Changing altitude by 1m
16:09:22: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGE_ALTITUDE: 1
16:09:23: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 3.0 m/s
16:09:23: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 111] Changing altitude by -1m
16:09:23: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGE_ALTITUDE: -1
16:09:23: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 2.0 m/s
16:09:23: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 143] On target
16:09:23: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: ON_TARGET
16:09:24: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 1.5 m/s
16:09:24: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 143] On target
16:09:24: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: ON_TARGET
16:09:24: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 1.2 m/s
16:09:24: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 143] On target
16:09:24: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: ON_TARGET
16:09:25: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 1.0 m/s
16:09:25: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 143] On target
16:09:25: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: ON_TARGET
16:09:25: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 0.8571428571428571 m/s
16:09:25: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 143] On target
16:09:25: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: ON_TARGET
16:09:26: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 3.25 m/s
16:09:26: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by 63.43494882292201 degrees
16:09:26: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: 63.43494882292201
16:09:26: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 5.111111111111111 m/s
16:09:26: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by 90.0 degrees
16:09:26: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: 90.0
16:09:27: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 6.6 m/s
16:09:27: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by 116.56505117707799 degrees
16:09:27: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: 116.56505117707799
16:09:27: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 7.818181818181818 m/s
16:09:27: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by 45.0 degrees
16:09:27: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: 45.0
16:09:28: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 8.833333333333334 m/s
16:09:28: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by 63.43494882292201 degrees
16:09:28: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: 63.43494882292201
16:09:28: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 9.692307692307692 m/s
16:09:28: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by 90.0 degrees
16:09:28: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: 90.0
16:09:29: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 10.428571428571429 m/s
16:09:29: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by 26.565051177077994 degrees
16:09:29: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: 26.565051177077994
16:09:29: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 11.066666666666666 m/s
16:09:29: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by 45.0 degrees
16:09:29: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: 45.0
16:09:30: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 11.625 m/s
16:09:30: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by 90.0 degrees
16:09:30: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: 90.0
16:09:30: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 12.117647058823529 m/s
16:09:30: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by 45.0 degrees
16:09:30: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: 45.0
16:09:31: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 12.555555555555555 m/s
16:09:31: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by 90.0 degrees
16:09:31: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: 90.0
16:09:31: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 12.947368421052632 m/s
16:09:31: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by 135.0 degrees
16:09:31: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: 135.0
16:09:32: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 13.3 m/s
16:09:32: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by -26.565051177077994 degrees
16:09:32: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: -26.565051177077994
16:09:32: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 13.619047619047619 m/s
16:09:32: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by -45.0 degrees
16:09:32: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: -45.0
16:09:33: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 13.909090909090908 m/s
16:09:33: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by -90.0 degrees
16:09:33: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: -90.0
16:09:33: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 14.173913043478262 m/s
16:09:33: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by -45.0 degrees
16:09:33: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: -45.0
16:09:34: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 14.416666666666666 m/s
16:09:34: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by -90.0 degrees
16:09:34: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: -90.0
16:09:34: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 14.64 m/s
16:09:34: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by -135.0 degrees
16:09:34: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: -135.0
16:09:35: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 14.846153846153847 m/s
16:09:35: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by -63.43494882292201 degrees
16:09:35: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: -63.43494882292201
16:09:35: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 15.037037037037036 m/s
16:09:35: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by -90.0 degrees
16:09:35: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: -90.0
16:09:36: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 15.214285714285714 m/s
16:09:36: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by -116.56505117707799 degrees
