15:57:06: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
15:57:06: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 137] Connected!
15:57:06: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGE_ALTITUDE: 1
15:57:07: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGE_ALTITUDE: -1
15:57:07: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: ON_TARGET
15:57:08: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: ON_TARGET
15:57:08: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: ON_TARGET
15:57:09: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: ON_TARGET
15:57:09: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: ON_TARGET
15:57:10: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: 63.43494882292201
15:57:10: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: 90.0
15:57:11: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: 116.56505117707799
15:57:11: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: 45.0
15:57:12: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: 63.43494882292201
15:57:12: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: 90.0
15:57:13: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: 26.565051177077994
15:57:13: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: 45.0
15:57:14: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: 90.0
15:57:14: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: 45.0
15:57:15: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: 90.0
15:57:15: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: 135.0
15:57:16: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: -26.565051177077994
15:57:16: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: -45.0
15:57:17: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: -90.0
15:57:17: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: -45.0
15:57:18: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: -90.0
15:57:18: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: -135.0
15:57:19: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: -63.43494882292201
15:57:19: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: -90.0
15:57:20: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: -116.56505117707799
15:57:20: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: -45.0
15:57:21: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: -63.43494882292201
15:57:21: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 82] Worker output: CHANGING_YAW: -90.0
