20:59:47: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 43] Logger initialized
20:59:47: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 61] Heartbeat Received
20:59:47: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 67] Connected to Drone
20:59:47: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 68] Status: Connected
20:59:48: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 61] Heartbeat Received
20:59:48: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 68] Status: Connected
20:59:49: [WARNING] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 70] Missed Heartbeat (1)
20:59:49: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 68] Status: Connected
20:59:49: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 61] Heartbeat Received
20:59:49: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 68] Status: Connected
20:59:50: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 61] Heartbeat Received
