15:20:26: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | main | 45] Logger initialized
15:20:26: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 0
15:20:26: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 0
15:20:26: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 1
15:20:26: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 1
15:20:26: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 2
15:20:27: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 3
15:20:27: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 2
15:20:27: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 4
15:20:27: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 3
15:20:27: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 5
15:20:28: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 6
15:20:28: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 4
15:20:28: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 7
15:20:28: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 5
15:20:28: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 8
15:20:29: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 9
15:20:29: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 6
15:20:29: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 10
15:20:29: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 7
15:20:29: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 11
